Brand,Model,Type,Price_Range,Image_Url,cc_value
Honda,Honda SP 125,Petrol,85,564 - 94,069,https://cdn.bikedekho.com/processedimages/honda/sp125/source/sp12568a70d4bcf14e.jpg,123
Honda,Honda Shine,Petrol,78,539 - 82,898,https://cdn.bikedekho.com/processedimages/honda/shine-bs6/source/shine-bs668a6fe183eaa4.jpg,123
Honda,Honda CB125 Hornet,Petrol,1.03 Lakh,https://cdn.bikedekho.com/processedimages/honda/cb125-hornet/source/cb125-hornet68ce3b25117ca.jpg,123
Honda,Honda Hornet 2.0,Petrol,1.45 Lakh,https://cdn.bikedekho.com/processedimages/honda/hornet-20/source/hornet-2068a6fd6482456.jpg,184
Honda,Honda Unicorn,Petrol,1.11 Lakh,https://cdn.bikedekho.com/processedimages/honda/2025-unicorn/source/2025-unicorn68ce4cf60ca10.jpg,162
Honda,Honda CB350 H'ness,Petrol,1.92 - 1.97 Lakh,https://cdn.bikedekho.com/processedimages/honda/honda-cruiser/source/honda-cruiser68ce3ec3c792a.jpg,348
Honda,Honda SP160,Petrol,1.13 - 1.18 Lakh,https://cdn.bikedekho.com/processedimages/honda/sp160/source/sp16068ce4c7c5731b.jpg,162
Honda,Honda Shine 100,Petrol,63,191,https://cdn.bikedekho.com/processedimages/honda/shine-100/source/shine-10068a70ce677e56.jpg,98
Honda,Honda CB350,Petrol,2 - 2.02 Lakh,https://cdn.bikedekho.com/processedimages/honda/cb350-babt/source/cb350-babt68ce3cbd40d96.jpg,348
Honda,Honda CB350RS,Petrol,1.97 - 2 Lakh,https://cdn.bikedekho.com/processedimages/honda/cb-350-x-scrambler/source/cb-350-x-scrambler68ce3f673820a.jpg,348
Honda,Honda Shine 100 DX,Petrol,69,694,https://cdn.bikedekho.com/processedimages/honda/shine-100-dx/source/shine-100-dx68ce4c07d6604.jpg,98
Honda,Honda CBR650R,Petrol,11.16 Lakh,https://cdn.bikedekho.com/processedimages/honda/2025-cbr650r/source/2025-cbr650r68ce410bb5c8b.jpg,649
Honda,Honda Livo,Petrol,77,242 - 79,809,https://cdn.bikedekho.com/processedimages/honda/2025-livo/source/2025-livo68ce4966676c3.jpg,109
Honda,Honda CB300R,Petrol,2.19 Lakh,https://cdn.bikedekho.com/processedimages/honda/cb300r/source/cb300r68ce3c46b6e77.jpg,286
Honda,Honda Gold Wing,Petrol,42.82 Lakh,https://cdn.bikedekho.com/processedimages/honda/honda-gold-wing/source/honda-gold-wing68a6fcd878391.jpg,1833
Honda,Honda CB300F,Petrol,1.55 Lakh,https://cdn.bikedekho.com/processedimages/honda/cb350f/source/cb350f68ce3b72388b6.jpg,293
Honda,Honda NX200,Petrol,1.56 Lakh,https://cdn.bikedekho.com/processedimages/honda/nx200/source/nx20068ce49cfa7f40.jpg,184
Honda,Honda Rebel 500,Petrol,5.49 Lakh,https://cdn.bikedekho.com/processedimages/honda/rebel-300/source/rebel-30068ce4bb0efb81.jpg,471
Honda,Honda CB1000 Hornet SP,Petrol,13.29 Lakh,https://cdn.bikedekho.com/processedimages/honda/cb-1000-hornet/source/cb-1000-hornet68ce40af42334.jpg,1000
Honda,Honda CB650R,Petrol,10.30 Lakh,https://cdn.bikedekho.com/processedimages/honda/2025-cb650r/source/2025-cb650r68ce3fb552021.jpg,649
Honda,Honda NX500,Petrol,6.33 Lakh,https://cdn.bikedekho.com/processedimages/honda/nx500/source/nx50068ce4aae62425.jpg,471
Honda,Honda CB750 Hornet,Petrol,9.22 Lakh,https://cdn.bikedekho.com/processedimages/honda/cb-750-hornet/source/cb-750-hornet68ce40432fde9.jpg,755
Honda,Honda CB300F Flex-Fuel,Petrol,1.55 Lakh,https://cdn.bikedekho.com/processedimages/honda/cb300f-flex-fuel/source/cb300f-flex-fuel68ce3bcb39fc6.jpg,293
Honda,Honda CBR1000RR-R SP,Petrol,31.18 Lakh,https://cdn.bikedekho.com/processedimages/honda/cbr1000rr-r-sp/source/cbr1000rr-r-sp68c7a55be13db.jpg,999
Honda,Honda XL750 Transalp,Petrol,11.81 Lakh,https://cdn.bikedekho.com/processedimages/honda/xl750-transalp-2025/source/xl750-transalp-202568ce4dae498a4.jpg,755
Royal Enfield,Royal Enfield Hunter 350,Petrol,1.38 - 1.67 Lakh,https://cdn.bikedekho.com/processedimages/royal-enfield/roadstar/source/roadstar68c28d299fba9.jpg,349
Royal Enfield,Royal Enfield Continental GT 650,Petrol,3.50 - 3.78 Lakh,https://cdn.bikedekho.com/processedimages/royal-enfield/continental-gt-650/source/continental-gt-65068d29dc6b36fa.jpg,647
