Brand,Model,Type,Price_Range,Image_Url,cc_value
Ultraviolette,Tesseract,Electric,1.20 Lakh,https://cdn.bikedekho.com/processedimages/ultraviolette/tesseract/source/tesseract67c81c472a988.jpg,14.91 kW
Jitendra EV,Yunik,Electric,92,000 - 1.24 Lakh,https://cdn.bikedekho.com/processedimages/jitendra-ev/yunik/source/yunik677cfafeccd0e.jpg,2.5 kW
BGauss,OoWah,Electric,94,990 - 1.10 Lakh,https://cdn.bikedekho.com/processedimages/bgauss/oowah/source/oowah68ca705085322.jpg,2.4 kW
Suzuki,e Access ,Electric,1.10 Lakh,https://cdn.bikedekho.com/processedimages/suzuki/access-electric/source/access-electric6889cf5cee975.jpg,4.1 kW
eblu,Feo,Electric,99,999,https://cdn.bikedekho.com/processedimages/eblu/feo/source/feo663ef20e7e260.jpg,5 kW
Ampere Electric,Nexus,Electric,1.20 - 1.30 Lakh,https://cdn.bikedekho.com/processedimages/ampere/nxg/source/nxg686d1b54401a9.jpg,5 kW
Honda,Activa 7G,Petrol,79,000,https://cdn.bikedekho.com/processedimages/honda/activa-7g/640X309/activa-7g62f25c0018a4b.jpg,
Yamaha,NMax 155,Petrol,1.40 Lakh,https://cdn.bikedekho.com/processedimages/yamaha/yamaha-nmax-155/source/yamaha-nmax-155678a78d923a82.jpg,155 cc
Gogoro,2 Series,Electric,1.50 Lakh,https://cdn.bikedekho.com/processedimages/gogoro/s1-electric-scooter/640X309/s1-electric-scooter635a436601236.jpg,7 kW
Liger,X,Electric,90,000,https://cdn.bikedekho.com/processedimages/liger/liger-electric-scooter/source/liger-electric-scooter6752d639974da.jpg,
Vespa,Electric Scooter,Electric,1.70 Lakh,https://cdn.bikedekho.com/processedimages/vespa/elettrica/640X309/elettrica6007cc207af14.jpg,3.6 kW
Ather,EL01,Electric,99,000,https://cdn.bikedekho.com/processedimages/ather-energy/el01/source/el0168b2b5096f9ee.jpg,
TVS,Jupiter CNG,Petrol,95,000,https://cdn.bikedekho.com/processedimages/tvs/jupiter-cng/source/jupiter-cng678b9ba47bca7.jpg,124.8 cc
Suzuki,Burgman Electric,Electric,1.20 Lakh,https://cdn.bikedekho.com/processedimages/suzuki/burgman-electric/640X309/burgman-electric60efeb5460aa2.jpg,
VLF,Mobster 180,Petrol,1.70 Lakh,https://cdn.bikedekho.com/processedimages/vlf/mobster-180/source/mobster-180686e2bf8d368f.jpg,180 cc
Yamaha,Electric Scooter,Electric,1.60 Lakh,https://cdn.bikedekho.com/processedimages/yamaha/yamaha-electric-scooter/source/yamaha-electric-scooter689ace006437d.jpg,
Honda,Shine Electric,Electric,1.30 Lakh,https://cdn.bikedekho.com/processedimages/honda/shine-electric/source/shine-electric689acf1b4dbb9.jpg,
Gogoro,Supersport,Electric,Price to be announced,https://cdn.bikedekho.com/processedimages/gogoro/gogoro-supersport/640X309/gogoro-supersport6364d5e843e56.jpg,7.6 kW
Ultraviolette,Tesseract,Electric,1.20 Lakh,https://cdn.bikedekho.com/processedimages/ultraviolette/tesseract/source/tesseract67c81c472a988.jpg,14.91 kW
Jitendra EV,Yunik,Electric,92,000 - 1.24 Lakh,https://cdn.bikedekho.com/processedimages/jitendra-ev/yunik/source/yunik677cfafeccd0e.jpg,2.5 kW
BGauss,OoWah,Electric,94,990 - 1.10 Lakh,https://cdn.bikedekho.com/processedimages/bgauss/oowah/source/oowah68ca705085322.jpg,2.4 kW
Suzuki,e Access ,Electric,1.10 Lakh,https://cdn.bikedekho.com/processedimages/suzuki/access-electric/source/access-electric6889cf5cee975.jpg,4.1 kW
eblu,Feo,Electric,99,999,https://cdn.bikedekho.com/processedimages/eblu/feo/source/feo663ef20e7e260.jpg,5 kW
Ampere Electric,Nexus,Electric,1.20 - 1.30 Lakh,https://cdn.bikedekho.com/processedimages/ampere/nxg/source/nxg686d1b54401a9.jpg,5 kW
Honda,Activa 7G,Petrol,79,000,https://cdn.bikedekho.com/processedimages/honda/activa-7g/640X309/activa-7g62f25c0018a4b.jpg,
Yamaha,NMax 155,Petrol,1.40 Lakh,https://cdn.bikedekho.com/processedimages/yamaha/yamaha-nmax-155/source/yamaha-nmax-155678a78d923a82.jpg,155 cc
